,公司名称,公司规模,城市,学历要求,工作经验,职位名称,职位描述,职位薪资
0,车主邦,100-499人,北京,本科,3-5年,数据分析,职位描述：1、熟悉公司运作，对各部门的数据统计分析工作给予支持配合。推送数据报表，为业务提供决策依据为各项目提供业务数据分析支持 。编报各类统计数据分析报表，整合汇总、综合分析，按时为上司提供可行性的报告 。2、根据实际业务逻辑，梳理运营与推广的业务需求，及时发现问题进行预警并提出解决办法；3、跟踪目标实现情况，基于内外部分析，协助制定业务战略，并提出业务调整优化建议；开展深入的专项数据分析及相关研究，给出决策建议，推动优化落地及迭代。4、基于实际情况及多维度的数据分析，协助总监制定合理的激励政策；5、协助搭建基础数据分析平台，建立运营监控体系；6、基于公司战略目标，进行数据策略推演及拆解，搭建相应数据分析体系，建立监控模型，驱动数据化运营；7、用户画像及行业市场研究，进行策略分析和数据模型搭建。8、供需两端业务数据分解，从全量业务到分区域分城市的业务指标分析及监测体系，不断驱动数据化工具的发展和应用。任职要求:1、良好的逻辑思维与表达能力，善于从各个角度洞察商业机会及业务机会点；2、责任心强，自驱、良好学习能力，具备较强的团队合作精神和带团队经验；3、本科或以上学历，至少5年以上数据分析或业务分析相关工作经验；4、熟练使用主流的数据统计分析工具，对如何搭建业务全局的策略及数据体系有一定经验和个人思考。5、具有数理统计，经济学，能熟练使用EXCLE、SPSS、QUANVERT、SAS等统计软件6、必须4年以上工作经验,20k-23k
1,一指遥,100-499人,北京,本科,1-3年,数据分析师,1.根据各部门数据需求，统计整理数据，并按业务部门需求形式呈现并反馈给业务部门；2.根据各部门需求，在海信系统中增加，修改海信报表；3.数据中心负责人交待的其他数据统计工作；,4k-5k
2,宜信公司,10000人以上,北京,本科,经验不限,数据分析专员,职位说明负责日常的业绩报表制作、维护，以及业绩分析报告的撰写，并负责自动化报表的开发及测试工作。同时，协助项目经理完成相关数据分析工作。职位要求统计学或计算机相关专业毕业，两年以上工作经验。熟练掌握VBA编程及SQL语句，具有独立开发自动化报表的能力。对数据敏感，能够承受较强的工作压力。熟悉SAS编程者优先。,10k-12k
3,会分期,100-499人,北京,本科,3-5年,高级数据分析师,数据分析主管岗位职责： 1. 通过数据的挖掘，密切关注运营进程，参与制定运营管理策略，提出改进方案，进行事后评价； 2. 深入业务，理解业务运作逻辑，对基于业务的各项运营、产品数据分析，进行数据监测、分析、统计、并形成指标体系。 3. 持续跟踪业务数据，监测业务发展态势，为业务指标异常提供预警、监测和解读，同时完成业务专题分析。 4. 结合行业数据、业界观点和市场趋势，为长期业务发展方向提供战略层面的意见和建议。 任职资格：1.本科或以上学历，数学/统计学/金融专业优先；2. 3年以上数据分析、运营分析经验，互联网电商公司商业分析、数据分析或咨询公司背景优先；3.具有较强的数据敏感度，精通数据分析基础知识，熟练掌握数据分析的体系流程与方法，能带领团队完成建模分析，输出高质量的数据报表或分析报告，有用户画像相关经验优先；4.熟悉 MySQL等数据库，熟练使用SAS/R，Python，SQL，VBA，Excel5.了解数据挖掘、机器学习相关算法及应用,15k-25k
4,滴滴出行,10000人以上,北京,本科,1-3年,数据分析,"""工作职责：1.负责滴滴核心出行业务团队的数据分析、模型训练；2.利用技术实现业务的原始数据自动化获取、清洗、整理、分类入库供算法团队调取使用。""""岗位要求：1.熟练掌握：mysql、hdfs/hive/hbase 、nosql数据库使用；2.熟练掌握：shell、python脚本，通过脚本语言编写程序进行数据清洗、分类、入库；3.具有1年以上数据清洗、数据挖掘方向的脚本开发经验；4.熟练使用linux操作系统，具有服务端（c++/java/php）开发经验者优先；5.具备分析、解决问题的能力，能够承受工作中的压力；6.具备良好的人际沟通能力和团队协作能力。""",25k-50k
5,赢销通,500-999人,北京,本科,5-10年,高级数据分析经理,"1.     高级经理/经理职责描述：-   基于对业务的深刻理解，搭建合理的分析体系，设计并不断完善数据指标体系，以数据为基础，形成      有价值、有意义，指导性强的分析结果，作为业务推进的重要决策依据-       针对不同业务场景，完善数据监测和分析体系，配合跨团队搭建起有效的数据分析工具参与公司数据建设，推动优化数据的准确率、覆盖率和可用性-       熟悉内部数据建设的现状，产品化的方式解决业务问题，与业务，算法，产品，技术开发等团队密切合作，协同相关资源方，整合成果，推动落地岗位要求： -   本科及以上学历，4年以上互联网产品经验，同时具备至少2年以上数据产品经验-       精通SQL（工作环境中使用），Excel工具 -       良好的业务理解能力、数据分析能力-       善于思考，有较好的数据敏感度、逻辑思维能力和解决问题的能力-       有极强的学习能力，善于接受新鲜事物，勇于尝试；拥抱变化-       有强烈的责任心、自驱力和良好的抗压能力-       有团队管理经验，善于协作 2.     高级分析师职责描述：-       参与并协助基础数据体系建设，数据指标体系构建及管理，对数据链路准确及时性负责-       负责多维度数据的分析及监测，及时提炼并总结数据问题，同步相关责任人-       针对当前数据上的问题，能够针对性的提出解决方案，并调动资源，推动方案的落实；岗位要求：1、本科及以上学历，1年以上互联网经验，有数据产品或数据库搭建开发经验优先2、数据敏感，逻辑性强，熟练掌握Excel, SQL（工作环境中使用）等数据分析理念及工具",20k-35k
6,趣头条,1000-9999人,北京,大专,3-5年,高级数据分析,职位描述岗位职责：1、数据报表开发：通过报表工具搭建核心报表及维护，包括一些中间表的设计维护，数据埋点梳理2、业务分析：对接产品、运营团队、广告策略团队的业务数据需求，提供可靠的数据分析及优化解决方案。3、专项分析：基于对业务和产品的认知，结合公司现状，定期分析产品及运营的痛点并提供有价值的解决方案4、数据监控：每日监控业务核心数据，及时发现问题并及时准确定位问题点岗位要求：1、本科及以上学历，计算机或统计、数学相关专业优先；2、熟练使用SQL语言，熟练Tableau等可视化工具优先，了解HADOOP平台及linux环境，能用R/python进行建模优先3、热爱数据分析，有严谨的逻辑思维能力及较强数据敏感性4、执行力强，有较好的团队合作及沟通能力。,20k-40k
7,全时天地在线,1000-9999人,北京,大专,1-3年,数据分析,岗位职责：1、梳理业务逻辑，对业务数据进行分析和监控，数据驱动支持业务决策，主要对本部门，日常的运营数据进行处理和分析，为运营团队、销售团队以及客户提供数据支持；2、制作运营时报、日报、周报，对数据进行整理，对异常波动情况进行分析并跟踪3、与运营人员、销售人员随时沟通，了解运营状况并推动运营工作4、对运营数据进行深度挖掘，产出数据报告，提供到运营人员，运营人员根据数据报告作出具体的运营调整5、梳理部门项目基本数据，项目基本信息以及日常数据的维护与更新，部门项目数据归档工作6、通过专项分析，输出专项分析报告，为业务模块的决策和产品方向提供数据支持；7、参与项目的经营分析；岗位要求：1、本科及以上，统计、数学、计算机相关专业；2、具有2年及以上数据分析经验，信息流区域行业分析相关经验； 3、熟练使用Excel、ACCESS，PPT等office软件；了解数据库，具有一定的SQL书写能力；有SAS/SPSS等统计软件使用经验优先；4、对数据有极强的敏感性，善于分析产品业务数据，发现问题找出解决方案，给公司运营提供运行监控及建议报告；,6k-12k
8,学霸君,1000-9999人,北京,本科,1-3年,师资数据分析,职位描述：1、对师资的数据统计与分析，以日/周/月为单位定期提供数据分析图表；2、对师资的数据进行深度分析、挖掘和建模，形成数据分析报告， 为师资运营决策、产品服务提供数据支持；3、与师资的数据平台部门建立沟通联系，进行师资数据库的规划、设计、实施;4. 深入理解师资运营，发现师资特征，进行衍生数据价值挖掘；任职要求：1、本科及以上学历，统计学、数学专业优先；2年以上相关工作经验；2、对数字敏感，中级EXCEL以上，了解数据模型通用方法论；3、具备良好的数据敏感度、良好的逻辑分析能力和系统性思维能力，能及时发现和分析数据中隐含的变化和问题；4、具备良好的信息理解能力和沟通技巧，具备一定的抗压能力和团队合作能力；5、沟通表达力较强，积极主动乐观，抗压能力较强；,9k-13k
9,神州优车集团,10000人以上,北京,本科,3-5年,数据分析师,岗位职责:    1、负责大数据平台的设计以及开发工作，包括平台组件选型及搭建、平台服务开发；    2、负责离线/实时的数据存储和加工处理，保证数据质量，负责数据监体系的建立和维护；    2、负责海量数据的清洗、处理和挖掘工作，支持数据分析师和算法工程师的数据需求；    3、对数据敏感，基于海量数据进行业务分析，灵活运用可视化工具，参与产品与应用的数据研发，分析数据成因，发掘数据商业价值；    3、研究前沿技术，解决实际场景中的业务问题，优化离线/实时大数据计算任务的性能；         任职条件:     1、计算机或相关专业本科及以上学历，3年以上大数据开发经验；    2、熟悉Linux/Unix开发环境，精通python/java/shell，扎实的数据结构和算法功底；    3、具有丰富的数据加工处理经验，对数据处理、数据清洗，数据建模、数据分析等有深刻认识和实战经验；    4、熟练使用mapreduce、hive、spark等进行数据加工；熟悉hive和spark的编写和性能调优；    5、熟悉常用开源分布式系统，对Hadoop/Hive/Spark/Storm/Flink/HBase中的一项或多项有深入了解;，能够独立排查及解决分布式系统的问题；    6、清晰的逻辑分析和表达能力，热爱技术，乐于分享，对行业和技术的发展有自己的见解；    7、良好的团队精神和合作意识，强烈的责任心，对工作有激情，良好的沟通能力；         加分项：    1. 完整搭建过大数据平台和数据产品，有实时数据的加工处理经验优先；    2. 有数据挖掘、机器学习、自然语言处理等领域的理论基础和算法实现和优化经验优先；    3. 有机器学习/深度学习平台的开发经验，熟悉参数服务器，有算法并行化实现经验优先；,18k-30k
